team,main,id,title,author,journal,number,cites,year,cid,pubid
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,How many infants likely died in Africa as a result of the 2008–2009 global financial crisis?,"J Friedman, N Schady",Health Economics,"22 (5), 611-622",150,2013,"4435167024730803068,13304554218094577419",mVmsd5A6BfQC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Intergenerational exchanges in Vietnam: Family size, sex composition, and the location of children","J Knodel, J Friedman, T Si Anh, BT Cuong",Population studies,"54 (1), 89-104",118,2000,16012552830377112446,UeHWp8X0CEIC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Psychological health before, during, and after an economic crisis: Results from Indonesia, 1993–2000","J Friedman, D Thomas",The World Bank Economic Review,"23 (1), 57-76",117,2009,6919141111010518230,YsMSGLbcyi4C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Development, modernization, and childbearing: The role of family sex composition","D Filmer, J Friedman, N Schady",The World Bank Economic Review,"23 (3), 371-398",109,2009,"13428208188883577739,3198620295654928489,9312466717457639458,16963888123866596364",3fE2CSJIrl8C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Mental health patterns and consequences: results from survey data in five developing countries,"J Das, QT Do, J Friedman, D McKenzie",The World Bank Economic Review,"23 (1), 31-55",104,2009,"3419260010885292097,13107713221909320293",5awf1xo2G04C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Impact evaluation of school feeding programmes in Lao People's Democratic Republic,"A Buttenheim, H Alderman, J Friedman",Journal of Development Effectiveness,"3 (4), 520-542",89,2011,"3611114982889108713,8471798170117807168,14675630950739549347",p__nRnzSRKYC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Differential impacts of trade liberalization on Indonesia’s poor and non-poor,J Friedman,"World Bank Conference on International Trade and Poverty, Stockholm",20,69,2000,9908540124591358275,dhFuZR0502QC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Incentives to change: effects of performance-based financing on health workers in Zambia,"GC Shen, HTH Nguyen, A Das, N Sachingongu, C Chansa, J Qamruddin, ...",Human resources for health,"15 (1), 1-15",68,2017,"16523222726466853759,8975773040925146787",K3LRdlH-MEoC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Philippines conditional cash transfer program impact evaluation 2012,"N Chaudhury, J Friedman, J Onishi",Manila: World Bank Report,,68,2013,9536308312890250862,7PzlFSSx8tAC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Health sector demand-side financial incentives in low-and middle-income countries: a systematic review on demand-and supply-side effects,"SS Gopalan, R Mutasa, J Friedman, A Das",Social Science & Medicine,"100, 72-83",65,2014,10336362067375852362,TQgYirikUcIC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,What does variation in survey design reveal about the nature of measurement errors in household consumption?,"J Gibson, K Beegle, J De Weerdt, J Friedman",Oxford Bulletin of Economics and Statistics,"77 (3), 466-474",59,2015,"4585679274939952871,11054604996362973478,12187660024737047926,1828526292678924971",qxL8FJ1GzNcC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Gender dimensions of support for elderly in Vietnam,"J Friedman, J Knodel, BT Cuong, TS Anh",Research on Aging,"25 (6), 587-630",59,2003,"7469731473463159982,14204223477353466524",W7OEmFMy1HYC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The Challenge of Measuring Hunger Through Survey,"J De Weerdt, K Beegle, J Friedman, J Gibson",Economic Development and Cultural Change,"64 (4), 727-758",58,2016,"5279481057180784486,8056363671517778277,13873428131519330578",M3NEmzRMIkIC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Health information, treatment, and worker productivity","A Dillon, J Friedman, P Serneels",Journal of the European Economic Association,"19 (2), 1077-1115",48,2021,"15469334727262798314,15614456561482944095,4576592920872101669,10426420247687008858,4700183652400428940,17377190406553544941",t7zJ5fGR-2UC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Mental health and the development agenda in Sub-Saharan Africa,"R Jenkins, F Baingana, G Belkin, M Borowitz, A Daly, P Francis, ...",Psychiatric Services,"61 (3), 229-234",48,2010,14321694306108055453,hqOjcs7Dif8C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Decomposing response error in food consumption measurement: Implications for survey design from a randomized survey experiment in Tanzania,"J Friedman, K Beegle, J De Weerdt, J Gibson",Food Policy,"72, 94-111",46,2017,"382286697582621223,1656422033069058038,11325140288820214996,2815060913444914463",1sJd4Hv_s6UC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Improving supply chain for essential drugs in low-income countries: results from a large scale randomized experiment in Zambia,"M Vledder, J Friedman, M Sjöblom, T Brown, P Yadav",Health Systems & Reform,"5 (2), 158-177",44,2019,"11565045612448768010,5378454265948459293,5755271857895489680",VL0QpB8kHFEC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Cash Transfers, Food Prices, and Nutrition Impacts on Ineligible Children","D Filmer, J Friedman, E Kandpal, J Onishi",The Review of Economics and Statistics,1-45,43,2021,"2550091617204784751,1071561793139238589,4790133980660557276,4919229434471542611,4145307479966024864",k8Z6L05lTy4C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Household income and expenditure surveys: a tool for accelerating the development of evidence-based fortification programs,"JL Fiedler, MF Smitz, O Dupriez, J Friedman",Food and Nutrition Bulletin,"29 (4), 306-319",43,2008,12757774930799558703,8k81kl-MbHgC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Community perceptions on malaria and care-seeking practices in endemic Indian settings: policy implications for the malaria control programme,"A Das, RKD Gupta, J Friedman, MM Pradhan, CC Mohapatra, ...",Malaria journal,"12 (1), 1-12",39,2013,"2484999519649369479,14565249978410941594",L8Ckcad2t8MC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,How two tests can help contain COVID-19 and revive the economy,"D de Walque, J Friedman, R Gatti, A Mattoo",World Bank Research and Policy Briefs,,35,2020,4797645195560877043,z_wVstp3MssC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Work and retirement among the elderly in Vietnam,"J Friedman, D Goodkind, BT Cuong, TS Anh",Research on Aging,"23 (2), 209-232",35,2001,315882040857201328,WF5omc3nYNoC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,A conditional cash transfer program in the Philippines reduces severe stunting,"E Kandpal, H Alderman, J Friedman, D Filmer, J Onishi, J Avalos",The Journal of nutrition,"146 (9), 1793-1800",33,2016,10571051710229665936,dshw04ExmUIC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Strengthening malaria service delivery through supportive supervision and community mobilization in an endemic Indian setting: an evaluation of nested delivery models,"A Das, J Friedman, E Kandpal, GNV Ramana, RKD Gupta, MM Pradhan, ...",Malaria Journal,13 (482),33,2014,5026969978391014758,RHpTSmoSYBkC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Purchasing power parity exchange rates from household survey data: India and Indonesia,"A Deaton, J Friedman, V Alatas",Princeton Research Program in Development Studies Working Paper,,33,2004,6802224865112212498,ufrVoPGSRksC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Responding to HIV in Afghanistan,"MZ Rasoul, A Wodak, M Claeson, J Friedman, GD Sayed",The Lancet,"370 (9605), 2167-2169",32,2007,556477676631230983,ZeXyd9-uunAC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The impact of the food price crisis on consumption and caloric availability in Pakistan: evidence from repeated cross-sectional and panel data,"J Friedman, SY Hong, X Hou","World Bank, Washington, DC",,28,2011,13324382785475056100,-f6ydRqryjwC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Firm ownership and internal labour practices in a transition economy,J Friedman,Economics of Transition,"12 (2), 333-366",27,2004,254655665753256891,roLk4NBRz8UC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"How Responsive is Poverty to Growth: A Regional Analysis of Poverty, Inequality, and Growth in Indonesia, 1984-1999. Helsinki: World Institute for Development Economics …",J Friedman,Discussion Paper,,27,2003,"16196947155718806132,10786781481735377218,13001591509057735767,10202963184361189639,8112511555683806855",hMsQuOkrut0C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Child schooling and child work in the presence of a partial education subsidy,"J De Hoop, J Friedman, E Kandpal, F Rosati",Journal of Human Resources,"54 (2), 503-531",25,2019,"13821310325530458404,9584091771984206608",BrmTIyaxlBUC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Impact evaluation of Zambia’s health results-based financing pilot project,"J Friedman, J Qamruddin, C Chansa, AK Das","Washington, DC: World Bank Group",,25,2016,17870443164667057214,2KloaMYe4IUC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Health sector decentralization and Indonesia's nutrition programs: opportunities and challenges,"Y Choi, F Saadah, G Marks, PF Heywood, J Friedman",World Bank Policy Research Working Paper,,25,2006,"14977553252102673894,8331791369201410005",qUcmZB5y_30C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Cost–effectiveness of results-based financing, Zambia: a cluster randomized trial","W Zeng, DS Shepard, H Nguyen, C Chansa, AK Das, J Qamruddin, ...",Bulletin of the World Health Organization,"96 (11), 760",24,2018,"5078697687441520386,11089166298625337994",SdhP9T11ey4C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Linear child growth after a natural disaster: a longitudinal study of the effects of the 2004 Indian Ocean tsunami,"E Frankenberg, J Friedman, N Ingwersen, D Thomas",The Lancet,"389, S21",24,2017,"3478270678760877891,9797966017741748539,12303852148997378532",vRqMK49ujn8C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Maternal depressive symptoms are negatively associated with child growth and development: Evidence from rural I ndia,"PH Nguyen, J Friedman, M Kak, P Menon, H Alderman",Maternal & child nutrition,"14 (4), e12621",21,2018,9823438060918923841,Mojj43d5GZwC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The influence of economic crisis on early childhood development: a review of pathways and measured impact,"J Friedman, J Sturdy","No small matter: The impact of poverty, shocks, and human capital …",,21,2011,2816325550082844562,Zph67rFs4hoC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Vietnamese elderly amidst transformations in social welfare policy. D. Phillips,"BT Cuong, ST Anh, D Goodkind, J Knodel, J Friedman",Ageing in the Asia-Pacific regions: Issues and policies,334-359,19,2000,"13705041214178685604,16290935495364648844,5926206693723714985,5200346553805619325",eMMeJKvmdy0C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Revisiting the relationship between mental health and poverty in developing countries: a response to Corrigall,"J Das, QT Do, J Friedman, D McKenzie, K Scott",Social Science & Medicine,"66 (9), 2064-2066",13,2008,14895552145600762804,YOwf2qJgpHMC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Does involvement of local NGOs enhance public service delivery? Cautionary evidence from a malaria‐prevention program in India,"A Das, J Friedman, E Kandpal",Health economics,"27 (1), 172-188",12,2018,"12135931898735671881,6038234017277709343",VOx2b1Wkg3QC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Pay for performance in health systems: theory, evidence and case studies","J Friedman, RM Scheffler",World Scientific Handbook of Global Health Economics and Public Policy …,,12,2016,9665963013092394069,WbkHhVStYXYC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Using supervised learning to select audit targets in performance-based financing in health: An example from Zambia,"D Grover, S Bauhoff, J Friedman",PloS one,"14 (1), e0211262",11,2019,2757890267621847092,HE397vMXCloC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Disruptions in maternal and child health service utilization during COVID-19: analysis from eight sub-Saharan African countries,"G Shapira, T Ahmed, SHP Drouard, P Amor Fernandez, E Kandpal, ...",Health Policy and Planning,,7,2021,"15464878659615438060,6970455138802636931",oNZyr7d5Mn4C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Linking results to performance: evidence from a results based financing pre-pilot project in Katete District, Zambia","C Chansa, A Das, J Qamruddin, J Friedman, A Mkandawire, M Vledder","Health, Nutrition, and Population. World Bank, Washington, DC. https …",,5,2015,1768376250654669637,ML0RJ9NH7IQC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"On December 26, 2004, the Sumatra-Andaman earthquake shook the Indian Ocean, creating a tsunami that, around 45 minutes later, slammed into the nearby island of Sumatra …","E Frankenberg, J Friedman, F Saadah, B Sikoki, W Suriastini, C Sumantri, ...",Are You Being Served?: New Tools for Measuring Service Delivery,233,5,2007,"3771590769736009670,112452741383218765",bEWYMUwI8FkC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Physical activity and sedentary time in a rural adult population in Malawi compared with an age-matched US urban population,"M Pratt, JF Sallis, KL Cain, TL Conway, A Palacios-Lopez, A Zezza, ...",BMJ Open Sport & Exercise Medicine,"6 (1), e000812",4,2020,14045377744668162462,MLfJN-KU85MC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Knowledge and practices of Indonesian rural communities and poultry farmers toward avian flu,"Y Yakhshilikov, M Tiongco, C Narrod, J Friedman",HPAI Research Brief,17 (9),4,2009,1057072268903639365,KlAtU1dfN6UC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Productivity and Health: physical Activity as a Measure of Effort,"O Akogun, A Dillon, J Friedman, A Prasann, P Serneels",The World Bank Economic Review,"35 (3), 652-680",3,2021,"14888647175926611160,4932444273174457766,183155912077932458,4247698256525294166",VLnqNzywnoUC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Climate variability and infant mortality in Africa,"S Baird, J Friedman, M Smitz","Unpublished manuscript. The World Bank, Washington DC",,3,2010,"17188804552480702068,5130641259337692049",Fu2w8maKXqMC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The Intergenerational Mortality Tradeoff of COVID-19 Lockdown Policies,"L Ma, G Shapira, D De Walque, QT Do, J Friedman, AA Levchenko",National Bureau of Economic Research,,2,2021,"17297050603710951564,14687403586170696329",M7yex6snE4oC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,How many infants may have died in low-income and middle-income countries in 2020 due to the economic contraction accompanying the COVID-19 pandemic? Mortality projections based …,"G Shapira, D de Walque, J Friedman",BMJ open,"11 (8), e050551",1,2021,3682233613500809287,Dip1O2bNi0gC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Assessing the performance of the Caregiver Reported Early Development Instruments (CREDI) in rural India,"H Alderman, J Friedman, P Ganga, M Kak, M Rubio‐Codina",Annals of the New York Academy of Sciences,"1492 (1), 58-72",1,2021,18038432228641843335,kuK5TVdYjLIC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Impact of results-based financing on health worker satisfaction and motivation in Zimbabwe,"HTH Nguyen, S Gopalan, R Mutasa, J Friedman, AK Das, C Sisimayi, ...","Washington, DC: The World Bank",,1,2015,14052896577660848132,uWQEDVKXjbEC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Evaluating Pantawid Pamilya Using Regression Discontinuity Design: Key Results and Lessons,"J Onishi, DP Filmer, J Friedman, E Kandpal, J Avalos, N Chaudhury",The World Bank,,1,2014,918118693166141157,nrtMV_XWKgEC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Responding to HIV in Afghanistan,"J Friedman, EV Velenyi",HIV and AIDS in South Asia,41,1,2009,18333123874220737141,r0BpntZqJG4C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Indirect Effects on Maternal and Child Mortality from the COVID-19 Pandemic: Evidence from Disruptions in Healthcare Utilization in 18 Low-and Middle-Income Countries,"T Ahmed, T Roberton, JP Alfred, ML Baye, M Diabate, H Kiarie, P Mbaka, ...",,,0,2021,NA,xtoqd-5pKcoC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Financial Incentives to Increase Utilization of Reproductive, Maternal, and Child Health Services in Low-and Middle-Income Countries","S Neelsen, D de Walque, J Friedman, A Wagstaff","World Bank, Washington, DC",,0,2021,NA,HbR8gkJAVGIC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Exploratory study estimating the impact of performance-based financing (PBF) on quality of care and on the contextual factors mediating the effectiveness of PBF in improving …,"RU Mutasa, SJ Baird, A Takavarash, A Markus, J Friedman, W Zeng",Journal of Hospital Management and Health Policy,5,0,2021,NA,i2xiXl-TujoC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The Distribution of Effort,"J Friedman, I Gaddis, T Kilic, A Martuscelli, A Palacios-Lopez, A Zezza","World Bank, Washington, DC",,0,2021,NA,VaXvl8Fpj5cC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Incorporating Quality of Care Investments into a Health System Pay-for-Performance Framework: Process Evaluation of Zimbabwe’s Continuous Quality Improvement Innovation …,"J Friedman, RU Mutasa, T Gotsadze, AD Gage, FR Takavarasha, ...",The World Bank,,0,2020,NA,9Nmd_mFXekcC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Systematic Review and Meta-Analysis of Impacts of Supply-and Demand-Side Financial Incentives in Health in Low-and Middle-Income Countries,"D de Walque, J Friedman, S Neelsen, A Wagstaff",,2019 World Congress on Health Economics,0,2019,NA,_Re3VWB3Y0AC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Improving Health Care Quality of Care through Financial Incentives or Supportive Feedback? Results from a Randomized Evaluation Among Maternity Hospitals in Kyrgyzstan,"J Friedman, E Kandpal, H Nguyen, A Askerov, G Fristche, M Shimarova, ...",,2019 World Congress on Health Economics,0,2019,NA,7T2F9Uy0os0C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Robustness and External Validity: What do we Learn from Repeated Study Designs over Time?,"O Akogun, A Adesina, A Dillon, J Friedman, S Njobdi, P Serneels",,,0,2018,NA,dTyEYWd-f8wC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The Determinants of Program Effectiveness: Evidence From a Conditional Cash Transfer Program,"M Triyana, E Kandpal, J Friedman, A Posarac",PAA,2017 Annual Meeting,0,2017,NA,kzcrU_BdoSEC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Impact Evaluation on Improving Voluntary Medical Male Circumcision Demand in Malawi through the Use of Incentives,"A Longosz, F Chikwava, J Friedman, M Gorgens, M de Marcellus, ...","World Bank, Washington, DC",,0,2017,NA,WZBGuue-350C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Linking Results to Performance,"C Chansa, A Das, J Qamruddin, J Friedman, A Mkandawire, M Vledder","World Bank, Washington, DC",,0,2015,NA,70eg2SAEIzsC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Can integrated primary and hospital care improve both quality and efficiency outcomes in health care? Evidence from a Spanish Public private partnership,"N Mas, J Friedman, M Figallo",,,0,2015,NA,isC4tDSrTZIC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Impact evaluation of school feeding programs in Lao People's Democratic Republic,"A Buttenheim, H Alderman, J Friedman",The World Bank,,0,2013,NA,Z5m8FVwuT1cC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Maintenir des stocks suffisants de médicaments de première nécessité dans les centres de santé ruraux: un défi à relever,"M Vledder, J Friedman, MC Sjoblom, P Yadav",The World Bank,,0,2013,NA,URolC5Kub84C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The challenge of ensuring adequate stocks of essential drugs in rural health clinics,"M Vledder, J Friedman, MC Sjoblom, P Yadav",The World Bank,,0,2013,NA,epqYDVWIO7EC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Utilizing Local Capacity to Supplement Government Health Programs: Cautionary Evidence from a Malaria Prevention RCT in India,"AK Das, J Friedman, E Kandpal",,,0,2013,NA,k_IJM867U9cC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Mental Health Patterns and Consequences,"J Das, QT Do, J Friedman, D McKenzie",World Bank Economic Review,,0,2012,NA,TIZ-Mc8IlK0C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Psychological Health Before, During, and After an Economic Crisis","D Thomas, J Friedman",World Bank Economic Review,,0,2012,NA,tYavs44e6CUC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Do school feeding programs help children?,"A Marcus, HH Alderman, DO Gilligan, K Lehrer, AM Buttenheim, ...",The World Bank,,0,2012,NA,vDijr-p_gm4C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Randomized evaluation of the impact of the Philippines CCT,"N Chaudhury, J Friedman, J Onishi",,,0,2012,NA,BqipwSGYUEgC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Evidence for combating malaria,J Friedman,The World Bank,,0,2010,NA,EkHepimYqZsC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The World Bank economic review 23 (1),"E Auriol, M Holland, M Ravallion, J Das, D McKenzie, N Budina, ...",,,0,2009,NA,hMod-77fHWUC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Development-Induced Displacement and Children’s Human Capital,"A Buttenheim, J Friedman, H Alderman",UCLA CCPR Population Working Papers,,0,2007,NA,bnK-pcrLprsC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Essays on Development and Transition,JA Friedman,University of Michigan,,0,2001,NA,TFP_iSt0sucC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Alternative value frameworks for assessing Covid-19 pandemic policies,"L Ma, G Shapira, D de Walque, QT Do, J Friedman, A Levchenko, ...",,,0,NA,NA,SpbeaW3--B0C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Cost-effectiveness of results-based financing of maternal and child health services in Zimbabwe: a controlled pre-post study,"DS Shepard, W Zeng, R Mutasa, AK Das, CN Sisimayi, S Shamu, ...",,,0,NA,NA,kz9GbA2Ns4gC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,IARIW-World Bank,"MG Farfan, J Friedman, G Pollitti, R Vakis, E Zeballos",,,0,NA,NA,35r97b3x0nAC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The determinants of program effectiveness: evidence from a conditional cash transfer program,"J Friedman, E Kandpal, M Triyana, A Posarac",,,0,NA,NA,mvPsJ3kp5DgC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,More to do on measuring hunger,"J De Weerdt, K Beegle, J Friedman, J Gibson",,,0,NA,NA,O3NaXMp0MMsC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Development, modernization, and son preference in fertility decisions","N Schady, D Filmer, J Friedman",The World Bank,,0,NA,NA,GnPB-g6toBAC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,"Malaria Infection, Health Information and Productivity: Experimental estimates from Nigerian sugarcane cutters","A Dillon, J Friedman, P Serneels",,,0,NA,NA,iH-uZ7U-co4C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Decentralized targeting of an antipoverty program,"E Galasso, M Ravallion",Journal of Public economics,"89 (4), 705-727",565,2005,6456602674164678026,u5HHmVD_uO8C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Social protection in a crisis: Argentina’s Plan Jefes y Jefas,"E Galasso, M Ravallion",The World Bank Economic Review,"18 (3), 367-399",341,2004,10772721366101452611,u-x6o8ySG0sC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Socio-economic gradients and child development in a very low income population,"LCH Fernald, A Weber, L Ratsifandrihamanana",Developmental Science,"14 (4), 832-847",214,2011,5811798625492598303,ZeXyd9-uunAC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,With their effort and one opportunity: Alleviating extreme poverty in Chile,E Galasso,"Unpublished manuscript, World Bank, Washington, DC",,171,2006,13279159514053451116,9yKSN-GCB0IC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Distributional outcomes of a decentralized welfare program,E Galasso,World Bank Publications,,114,1999,6170834094087920235,d1gkVwhDpl0C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Assisting the transition from workfare to work: A randomized experiment,"E Galasso, M Ravallion, A Salvia",ILR Review,"58 (1), 128-142",105,2004,14308784226172272458,2osOgNQ5qMEC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Direct and indirect effects of Malawi's public works program on food security,"K Beegle, E Galasso, J Goldberg",Journal of Development Economics,"128, 1-23",102,2017,2265967348874619276,hMod-77fHWUC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,What can ex-participants reveal about a program’s impact?,"M Ravallion, E Galasso, T Lazo, E Philipp",Journal of Human Resources,"40 (1), 208-230",100,2005,8066955053990072475,qjMakFHDy7sC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Jump-starting self-employment? Evidence for welfare participants in Argentina,"RK Almeida, E Galasso",World Development,"38 (5), 742-755",83,2010,15408815872594440382,sSrBHYA8nusC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,The economic costs of stunting and how to reduce them,"E Galasso, A Wagstaff, S Naudeau, M Shekar","Policy Research Note World Bank, Washington, DC",,79,2016,13365820609209990955,xtRiw3GOFMkC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Alleviating extreme poverty in Chile: the short term effects of Chile Solidario,E Galasso,Estudios de economía,"38 (1), 101",69,2011,10369117267525814730,_FxGoFyzp5QC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Improving nutritional status through behavioural change: lessons from Madagascar,"E Galasso, N Umapathi",Journal of development Effectiveness,"1 (1), 60-85",51,2009,13194283030044859526,Y0pCki6q_DkC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Private transfers in a cross section of developing countries,"D Cox, E Galasso, E Jimenez",Center for Retirement Research Working Papers,111,50,2006,12658118908606607886,NMxIlDl6LWMC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Intrahousehold allocation and child labor in Indonesia,E Galasso,"Mimeo, Boston College",,48,1999,5340681942645511123,UeHWp8X0CEIC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Tackling social exclusion: evidence from Chile,"P Carneiro, E Galasso, R Ginja",The Economic Journal,"129 (617), 172-208",45,2019,11976369039885340694,TQgYirikUcIC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,The impact of providing psycho-social support to indigent families and increasing their access to social services: Evaluating Chile Solidario,"P Carneiro, E Galasso, R Ginja",Londres: Londons Global University,,41,2009,16945460444698619563,eQOLeE2rZwMC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,The aggregate income losses from childhood stunting and the returns to a nutrition intervention aimed at reducing stunting,"E Galasso, A Wagstaff",Economics & Human Biology,"34, 225-238",39,2019,17451253747952220672,vRqMK49ujn8C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Assisting the transition from workfare to work: A randomized experiment,"E Galasso, M Ravallion, A Salvia","World Bank, Washington, DC",,39,2001,2439250577349400273,AXPGKjj_ei8C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Assisting the transition from workfare to work: Argentina’s Proempleo experiment,"E Galasso, M Ravallion, A Salvia","World Bank, September",24,32,2001,12774874492819441952,zYLM7Y9cAGgC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Do workfare participants recover quickly from retrenchment?,M Ravallion,World Bank Publications,,27,2001,10925900447764745413,IjCSPb-OGe4C
